Block - FB,Plot,Group,Density,Date,Total Cover,Measurement 1,Measurement 2,Measurement 3,PHAU,Typha,BOMA,DISP,SCAC,SCAM,RUMA,RUST,Notes
1,5H,5,H,7/13/23,<1,0,0,0,,,,,,<1,,,"DISP seems to be growing out of the RUMA mounds for all plots on 7/13/23. Marked where flags were replaced except forgot a couple in Block 1. To replace, randomly threw down a new flag on 7/13/23."
1,1L,1,L,7/13/23,1,0,0,0,,1,,,,,,,
1,2L,2,L,7/13/23,1,1,1,0,,1,,,,,,,
1,4L,4,L,7/13/23,1,0,0,0,,1,,,,<1,,,
1,3L,3,L,7/13/23,1,0,3,0,,1,,,,<1,,,
1,4H,4,H,7/13/23,1,0,1,0,,1,1,,,1,,,
1,5L,5,L,7/13/23,1,0,0,1,,1,,,,,,,
1,C,C,C,7/13/23,1,0,0,0,,1,,,,,,,
1,1H,1,H,7/13/23,1,0,0,0,,1,,,,,,,
1,2H,2,H,7/13/23,<1,0,0,0,,,<1,,,,,,
1,3H,3,H,7/13/23,1,0,0,0,1,1,,,,,,,
2,4L,4,L,7/13/23,20,4,3,5,20,,,,,,,,
2,2L,2,L,7/13/23,20,4,1,5,20,,,,,,,,
2,C,C,C,7/13/23,10,1,1,0,,10,<1,,,<1,,,
2,3H,3,H,7/13/23,1,0,0,1,,1,<1,,,,,,
2,1L,1,L,7/13/23,1,0,0,4,,1,,,,,,,
2,5H,5,H,7/13/23,10,0,0,0,,10,,,,,,,
2,5L,5,L,7/13/23,10,0,0,0,,10,,,,,,,
2,3L,3,L,7/13/23,1,0,0,0,,1,<1,,,,,,
2,1H,1,H,7/13/23,10,0,0,0,1,10,,,,,,,
2,2H,2,H,7/13/23,10,3,2,0,10,1,,,,,,,
2,4H,4,H,7/13/23,10,0,4,11,10,1,,,,,,,plus 1 flag
3,1L,1,L,7/13/23,20,6,1,0,1,20,1,,,,,,
3,2H,2,H,7/13/23,20,4,5,0,1,20,,<1,,,1,,plus 1 flag
3,5H,5,H,7/13/23,30,0,0,3,1,10,<1,,,,20,,
3,1H,1,H,7/13/23,30,1,1,0,,10,,<1,,,20,,plus 1 flag
3,5L,5,L,7/13/23,40,4,1,2,1,1,,<1,,,40,,
3,2L,2,L,7/13/23,30,4,5,5,10,1,,1,,,10,,
3,C,C,C,7/13/23,20,3,6,0,1,10,,<1,,,1,,
3,3L,3,L,7/13/23,10,1,2,1,1,1,,1,,,,,
3,4H,4,H,7/13/23,10,1,1,4,10,,,,,,,,
3,3H,3,H,7/13/23,20,1,1,8,20,,,,,,,,
3,4L,4,L,7/13/23,30,3,7,5,30,,,,,,,,
4,2L,2,L,7/13/23,10,0,0,0,1,,,,,,10,,
4,3L,3,L,7/13/23,20,0,1,0,,10,1,<1,,,10,,plus 1 flag
4,4H,4,H,7/13/23,10,0,1,1,<1,1,,,1,,,1,
4,5H,5,H,7/13/23,10,1,1,1,1,10,,,,,1,,plus 1 flag
4,1H,1,H,7/13/23,10,0,2,1,1,10,,,,,,,
4,5L,5,L,7/13/23,10,1,1,1,1,10,,,,,,,
4,3H,3,H,7/13/23,20,3,1,1,1,10,,1,,,,,
4,2H,2,H,7/13/23,30,2,0,3,10,1,,<1,,,10,,
4,1L,1,L,7/13/23,10,1,1,1,1,10,,<1,,,,,plus 1 flag
4,C,C,C,7/13/23,20,1,5,1,,10,,,,,1,,
4,4L,4,L,7/13/23,20,2,0,2,,1,<1,1,,,20,,plus 1 flag
