Block - FB,Plot,Group,Density,Date,Total Cover,PHAU,Cheno,Typha,BOMA,DISP,EUMA,SYCI,LEFA,SCAC,BICE,BIFR,EUOC,MUAS,SCAM,RUMA,RUST,Unk_Forb,Unk_Grass,Unk_Rush,SARU,Tamarisk,Notes,Measurement 1,Measurement 2,Measurement 3
1,5H,5,H,7/27/22,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1,1L,1,L,7/27/22,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1,2L,2,L,7/27/22,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1,4L,4,L,7/27/22,1,,,,1,,,,,,,,,,,,,,,,,,,0,0,0
1,3L,3,L,7/27/22,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1,4H,4,H,7/27/22,1,,,,1,,,,,,,,,,,,,,,,,,,0,0,0
1,5L,5,L,7/27/22,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1,C,C,C,7/27/22,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1,1H,1,H,7/27/22,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1,2H,2,H,7/27/22,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1,3H,3,H,7/27/22,1,,,,1,,,,,,,,,,,,,,,,,,,0,0,0
2,4L,4,L,7/27/22,<1,<1,,,,,,,,,,,,,,,,,,<1,,,,0,0,0
2,2L,2,L,7/27/22,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0
2,C,C,C,7/27/22,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0
2,3H,3,H,7/27/22,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0
2,1L,1,L,7/27/22,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0
2,5H,5,H,7/27/22,<1,,,,,,,,,,,,,,,,,<1,,,,,,0,0,0
2,5L,5,L,7/27/22,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0
2,3L,3,L,7/27/22,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0
2,1H,1,H,7/27/22,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0
2,2H,2,H,7/27/22,<1,,,,<1,,,,,,,,,,,,,,,,,,,0,0,0
2,4H,4,H,7/27/22,1,,,,1,,,,,,,,,,,,,,,1,,,,0,0,0
3,1L,1,L,7/27/22,1,<1,,,<1,,,,,,,,,,,,,,,,,,,0,0,0
3,2H,2,H,7/27/22,1,<1,<1,1,<1,,,,,,,,,,,,,,,,,,,0,0,0
3,3L,5,H,7/27/22,1,<1,<1,,1,,,,,,,,,,,,,1,,,,,,0,1,0
3,1H,1,H,7/27/22,1,,,,1,,,,,,,,,,,,,<1,,,,,,0,0,0
3,5L,5,L,7/27/22,1,1,<1,,1,,,,,,,,,,,,,1,,,,,,0,0,0
3,2L,2,L,7/27/22,1,1,,,1,,,,,,,,,,,,,,,,,,,0,0,1
3,C,C,C,7/27/22,1,1,<1,,1,,,,,,,,,,,,,,,,,,,0,0,0
3,3L,3,L,7/27/22,1,,<1,,1,,,,,,,,,,,,,,1,,,,,0,0,1
3,4H,4,H,7/27/22,1,1,<1,,,,,,,,,,,,,,,,,,,,,0,0,0
3,3H,3,H,7/27/22,1,1,,,<1,,,,,,,,,,,,,,1,,,,,0,0,0
3,4L,4,L,7/27/22,1,1,1,,,,,,,,,,,,,,,,,<1,,,,0,0,0
4,2L,2,L,7/27/22,<1,<1,,,<1,,,,,,,,,,,,,,,,,,,0,0,0
4,3L,3,L,7/27/22,<1,<1,<1,,<1,,,,,,,,,,,,,,<1,,,,,0,0,0
4,4H,4,H,7/27/22,1,<1,,<1,,,,,,,,,,,,,,,,1,,,,0,0,0
4,5H,5,H,7/27/22,1,,,,,,,,,,,,,,,,,1,,,,,,0,0,0
4,1H,1,H,7/27/22,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0
4,5L,5,L,7/27/22,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0
4,3H,3,H,7/27/22,<1,<1,,<1,1,,,,,,,,,,,,,,,<1,,,,0,0,0
4,2H,2,H,7/27/22,<1,<1,<1,,<1,,,,,,,,,,,,,,,,,,,0,1,0
4,1L,1,L,7/27/22,<1,<1,,,,,,,,,,,,,,,,,,,,,,0,0,0
4,C,C,C,7/27/22,<1,,<1,<1,,,,,,,,,,,,,,,,,,,,0,0,0
4,4L,4,L,7/27/22,1,<1,<1,,1,,,,,,,,,,,,,,,,,,,0,1,0
5,5L,5,L,7/27/22,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0
5,2H,2,H,7/27/22,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0
5,1H,1,H,7/27/22,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0
5,3H,3,H,7/27/22,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0
5,4L,4,L,7/27/22,<1,,<1,,<1,,,,,,,,,,,,,,,,,,,0,0,0
5,1L,1,L,7/27/22,<1,,,,<1,,,,,,,,,,,,,,,,,,,0,0,0
5,2L,2,L,7/27/22,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0
5,5H,5,H,7/27/22,1,,,,,,,,,,,,,,,,,1,,,,,,0,0,0
5,4H,4,H,7/27/22,1,,,,1,,,,,,,,,,,,,<1,,,,,,0,0,0
5,C,C,C,7/27/22,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0
5,3L,3,L,7/27/22,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0
6,2H,2,H,7/27/22,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0
6,3L,3,L,7/27/22,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0
6,1H,1,H,7/27/22,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0
6,5L,5,L,7/27/22,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0
6,3H,3,H,7/27/22,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0
6,4L,4,L,7/27/22,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0
6,1L,1,L,7/27/22,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0
6,4H,4,H,7/27/22,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0
6,2L,2,L,7/27/22,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0
6,C,C,C,7/27/22,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0
6,5H,5,H,7/27/22,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1,5H,5,H,8/5/22,1,,,,1,,,,<1,,,,,,,,,,,,,,"plots flooded again, likely from heavy rain",0,0,0
1,1L,1,L,8/5/22,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1,2L,2,L,8/5/22,<1,,,,<1,,,,,,,,,,,,,,,,,,,0,0,0
1,4L,4,L,8/5/22,1,,,,1,,,,<1,,,,,,,,,,,<1,,,,0,0,0
1,3L,3,L,8/5/22,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1,4H,4,H,8/5/22,1,,,,1,,,,<1,,,,,,,,,,,,,,,0,0,0
1,5L,5,L,8/5/22,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1,C,C,C,8/5/22,1,,,,,1,,,,,,,,,,,,,,,,,,0,0,0
1,1H,1,H,8/5/22,<1,,,,,,,,,<1,,,,,,,,,,,,,,0,0,0
1,2H,2,H,8/5/22,<1,,,,<1,,,,<1,,,,,,,,,,,,,,,0,0,0
1,3H,3,H,8/5/22,1,,,,1,,,,<1,,,,,,,,,,,,,,,0,0,0
2,4L,4,L,8/5/22,1,1,,,1,,,,,,,,,,,,,,,,,,,0,0,0
2,2L,2,L,8/5/22,<1,<1,,,,,,,,,,,,,,,,,,,,,,0,0,0
2,C,C,C,8/5/22,<1,,,,,,,,<1,,,,,,,,,,,,,,,0,0,0
2,3H,3,H,8/5/22,<1,,,,<1,<1,,,,,,,,,,,,,,,,,,0,0,0
2,1L,1,L,8/5/22,<1,,,,,<1,,,,,,,,,,,,,,,,,,0,0,0
2,5H,5,H,8/5/22,<1,,,,<1,,,,,,,,,,,,,,,,,,,0,0,0
2,5L,5,L,8/5/22,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0
2,3L,3,L,8/5/22,<1,,,,<1,<1,,,,,,,,,,,,,,,,,,0,0,0
2,1H,1,H,8/5/22,1,,,<1,,<1,,,,,,,,,,,,,,,,,,0,0,0
2,2H,2,H,8/5/22,1,,,,1,,,,,,,,,,,,,,,,,,,0,0,0
2,4H,4,H,8/5/22,1,1,,,1,,,,,,,,,,,,,,,,,,,0,1,0
3,1L,1,L,8/5/22,1,,,,1,1,,,,,,,,,,,,,,,,,,0,0,1
3,2H,2,H,8/5/22,10,,1,1,1,1,,,,,,,,,,,,,,,,,,0,0,1
3,5H,5,H,8/5/22,20,,1,,10,1,,1,1,,<1,,,,,,,,,,,,,0,2,2
3,1H,1,H,8/5/22,10,,1,,10,1,<1,<1,,,,,,,,,,,,,,,,2,1,2
3,5L,5,L,8/5/22,10,,1,,10,1,1,<1,,,,,,,,,,,,,,,,0,2,0
3,2L,2,L,8/5/22,1,,1,,1,1,,,,,,,,,,,,,,,,,,0,1,4
3,C,C,C,8/5/22,10,,1,1,1,1,,,,,,,,,,,,,,,,,,1,0,3
