Block,Plot,Group,Density,Date,Total Cover,Unk Forb,PHAU,Unk_Sedge,BOMA,BICE,CYER,RUMA,Cheno,SCAC,SCPU,SCAM,DISP,RACY,ASIN,Unk_Grass,ALPR,CYDA,Unk_Bulrush,BY,SYCI,EUOC,TYPHA,Tamarisk,POPE,POFR,SAAM,BASC,LASE,Notes,Measurement 1,Measurement 2,Measurement 3
1,C,C,C,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No plants (true for all below unless noted),0,0,0
1,4H,4,H,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1,1L,1,L,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1,3L,3,L,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1,4L,4,L,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1,3H,3,H,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1,1H,1,H,6/15/22,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Ripped by tide or raccoons; flags not touching,0,0,0
1,5L,5,L,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ripped by tide or raccoons,0,0,0
1,2H,2,H,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1,5H,5,H,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1,2L,2,L,6/15/22,1,,,,,,,<1,,,,,,,,<1,,,,,,,,,,,,,,flags not touching (true of every plot this round),0,0,0
2,C,C,C,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
2,5H,5,H,6/15/22,<1,,,<1,,,,<1,,,,,,,,,,,,,,,,,,,,,,Ripped by tide or raccoons; 2 small plants,0,0,0
2,3H,3,H,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
2,2H,2,H,6/15/22,1,,,1,,,,<1,,,,,,,,,,,,,,,,,,,,,,Ripped by tide or raccoons,0,0,0
2,3L,3,L,6/15/22,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0
