"","contrast","estimate","SE","df","t.ratio","p.value"
"1","Group1 H - Group2 H",0.0979618142216047,0.696051838111378,48,0.140739250811273,0.999999999469672
"2","Group1 H - Group3 H",-2.01298583740209,0.696051838188883,48,-2.89200563371811,0.136213077292006
"3","Group1 H - Group4 H",0.224981746193081,0.696051838112167,48,0.323225561480129,0.999999138299426
"4","Group1 H - Group5 H",0.225054073834439,0.696051838228062,48,0.323329472711916,0.999999135864326
"5","Group1 H - Group1 L",-1.49786238846132,0.696051838111553,48,-2.1519408561942,0.502106792245808
"6","Group1 H - Group2 L",-0.21825282470854,0.696051838136099,48,-0.313558290849403,0.999999340076623
"7","Group1 H - Group3 L",-0.61789130794753,0.696051838121683,48,-0.887708751139754,0.996174582780936
"8","Group1 H - Group4 L",-0.900625265770699,0.696051838115173,48,-1.29390544849287,0.95026512891459
"9","Group1 H - Group5 L",0.22474129288708,0.696051839727635,48,0.32288010757219,0.999999146351566
"10","Group2 H - Group3 H",-2.1109476516237,0.696051838196615,48,-3.03274488448002,0.0994248774952036
"11","Group2 H - Group4 H",0.127019931971476,0.696051838111491,48,0.182486310669192,0.999999994584385
"12","Group2 H - Group5 H",0.127092259612834,0.696051838237549,48,0.182590221921747,0.999999994556788
"13","Group2 H - Group1 L",-1.59582420268293,0.696051838112263,48,-2.2926801070031,0.412197644829417
"14","Group2 H - Group2 L",-0.316214638930145,0.696051838132001,48,-0.454297541658351,0.999983426627552
"15","Group2 H - Group3 L",-0.715853122169134,0.696051838119087,48,-1.02844800195278,0.9889061808816
"16","Group2 H - Group4 L",-0.998587079992304,0.696051838113639,48,-1.43464469930654,0.9098596538859
"17","Group2 H - Group5 L",0.126779478665475,0.696051839693361,48,0.182140857096688,0.999999994675243
"18","Group3 H - Group4 H",2.23796758359517,0.69605183820721,48,3.21523119507796,0.064388125380654
"19","Group3 H - Group5 H",2.23803991123653,0.696051838115121,48,3.21533510678896,0.0643716865701615
"20","Group3 H - Group1 L",0.515123448940771,0.696051838178456,48,0.740064777774068,0.999055801965641
"21","Group3 H - Group2 L",1.79473301269355,0.696051838301787,48,2.57844734247424,0.25577359578959
"22","Group3 H - Group3 L",1.39509452945456,0.696051838256545,48,2.00429688246922,0.600308184997949
"23","Group3 H - Group4 L",1.11236057163139,0.696051838228182,48,1.59810018527203,0.842485861945105
"24","Group3 H - Group5 L",2.23772713028917,0.696051840514198,48,3.21488573126405,0.0644428038256101
"25","Group4 H - Group5 H",7.23276413582621e-05,0.696051838250363,48,0.000103911285602045,1
"26","Group4 H - Group1 L",-1.7228441346544,0.696051838113732,48,-2.47516641766687,0.307393229414717
"27","Group4 H - Group2 L",-0.443234570901621,0.696051838127237,48,-0.636783852326525,0.999718122536784
"28","Group4 H - Group3 L",-0.84287305414061,0.696051838116269,48,-1.21093431262488,0.966983577874775
"29","Group4 H - Group4 L",-1.12560701196378,0.696051838112177,48,-1.61713100997856,0.83324856260483
"30","Group4 H - Group5 L",-0.0002404533060009,0.696051839649424,48,-0.000345453157802165,1
"31","Group5 H - Group1 L",-1.72291646229576,0.696051838215185,48,-2.47527032859171,0.307338316262742
"32","Group5 H - Group2 L",-0.443306898542979,0.696051838360943,48,-0.636887763398304,0.999717746401865
"33","Group5 H - Group3 L",-0.842945381781969,0.696051838308726,48,-1.21103822357566,0.966965624246147
"34","Group5 H - Group4 L",-1.12567933960514,0.696051838275399,48,-1.61723492088495,0.833197370974125
"35","Group5 H - Group5 L",-0.000312780947359162,0.696051840713996,48,-0.000449364442508072,1
"36","Group1 L - Group2 L",1.27960956375278,0.696051838142594,48,1.83838256525176,0.708191108528842
"37","Group1 L - Group3 L",0.879971080513794,0.696051838126043,48,1.26423210501521,0.956808523737748
"38","Group1 L - Group4 L",0.597237122690624,0.696051838118005,48,0.85803540768665,0.997036232116622
"39","Group1 L - Group5 L",1.7226036813484,0.696051839777202,48,2.47482095859381,0.307575834054562
"40","Group2 L - Group3 L",-0.399638483238989,0.696051838114244,48,-0.574150460289993,0.999880019850692
"41","Group2 L - Group4 L",-0.682372441062159,0.696051838120081,48,-0.980347157627127,0.992095121031307
"42","Group2 L - Group5 L",0.44299411759562,0.696051839351197,48,0.636438398048834,0.999719369928762
"43","Group3 L - Group4 L",-0.282733957823169,0.696051838112684,48,-0.406196697346265,0.999993679120467
"44","Group3 L - Group5 L",0.842632600834609,0.69605183947747,48,1.21058885709889,0.967043214126599
"45","Group4 L - Group5 L",1.12536655865778,0.696051839570538,48,1.61678555343252,0.83341869307025
