"","contrast","odds.ratio","SE","df","null","t.ratio","p.value"
"1","Perennial forb / Rush",0.944538146514392,0.214813792472178,48,1,-0.250889828477831,0.999094121122233
"2","Perennial forb / Grass",1.10894982917966,0.259712039846033,48,1,0.441567311837447,0.99186206437669
"3","Perennial forb / Bulrush",0.717675456611867,0.157411436805785,48,1,-1.51247011021287,0.559642845357305
"4","Perennial forb / Annual forb",1.54272158876861,0.383595860253893,48,1,1.74361643857602,0.417841482416314
"5","Rush / Grass",1.17406568837055,0.267951984479911,48,1,0.70313141743471,0.954793356516794
"6","Rush / Bulrush",0.759816275563129,0.163892583432443,48,1,-1.27342726458697,0.708465225909267
"7","Rush / Annual forb",1.63330787058382,0.401722014968069,48,1,1.9946947852403,0.284109035941753
"8","Grass / Bulrush",0.647166749773308,0.143544745562602,48,1,-1.96186523543997,0.299968629610318
"9","Grass / Annual forb",1.39115544109856,0.348494323407545,48,1,1.3178654283896,0.681591768538824
"10","Bulrush / Annual forb",2.14960895562984,0.51349711301054,48,1,3.20365096165574,0.0194706787359779
