"","contrast","ratio","SE","df","null","t.ratio","p.value"
"1","1:H / 10:C",4.47198472264665,3.26883352578998,53,1,2.04913563128666,0.268922726922497
"2","1:L / 10:C",2.71435642136499,1.98408085474723,53,1,1.36609042088445,0.672318012753197
"3","2:H / 10:C",5.37054951518748,3.92564675331284,53,1,2.29962592658246,0.167738575348175
"4","2:L / 10:C",8.8481435949605,6.46762236885417,53,1,2.98267113691442,0.0344282200784554
"5","3:H / 10:C",12.1385604481737,8.87277927167239,53,1,3.41522605192878,0.0105453245258144
"6","3:L / 10:C",17.5066888490447,12.7966562924378,53,1,3.91620664240992,0.00234242326424428
"7","4:H / 10:C",1.00000000000007,0.730958115558811,53,1,9.53844063871743e-14,1
"8","4:L / 10:C",7.36773078221517,5.38550260885359,53,1,2.73218084164089,0.0643700559243454
"9","5:H / 10:C",2.71435642136573,1.98408085474756,53,1,1.36609042088498,0.672318012752874
"10","5:L / 10:C",5.37037124833771,3.92551644815519,53,1,2.29958051474632,0.16775391426625
