"","gd","contrast","response","SE","df","lower.CL","upper.CL"
"1","1:H",".",0.123699334977234,0.0353877306269995,53,0.0474383644060264,0.285776241119379
"2","1:L",".",0.155512794764368,0.0400688906458626,53,0.0650273417754653,0.327768834776621
"3","10:C",".",0.0987389129401848,0.0301576196464307,53,0.035817426956434,0.24420066475463
"4","2:H",".",0.179975844327875,0.0432059601065405,53,0.0793797205189284,0.358422489385304
"5","2:L",".",0.158883013119281,0.0413106404914024,53,0.0657988882416037,0.336253182136886
"6","3:H",".",0.0804462237766415,0.0264901466174083,53,0.0271426566686398,0.21526634920299
"7","3:L",".",0.100532991379468,0.0309080128145579,53,0.036188711736211,0.249649109399881
"8","4:H",".",0.199214662463166,0.0454997943548332,53,0.0910035230377705,0.382021461678464
"9","4:L",".",0.234245519891209,0.0501874593112848,53,0.111311251708605,0.427620310216934
"10","5:H",".",0.120047396416372,0.035157490643267,53,0.0450393845662104,0.28295919629483
"11","5:L",".",0.17258011420382,0.0422410404207262,53,0.0750553346229929,0.349010119524646
"12",".","1:H - 10:C",0.563028067070009,0.109290544264231,53,0.237900624656807,0.841728412290346
"13",".","1:L - 10:C",0.626987410682739,0.099759104310028,53,0.301118743981382,0.867680573616777
"14",".","2:H - 10:C",0.667034905326364,0.0931368948663761,53,0.344455755466075,0.88422977756108
"15",".","2:L - 10:C",0.632917456680414,0.100313989376817,53,0.302971034631544,0.872438806292039
"16",".","3:H - 10:C",0.443990126892972,0.114845021953413,53,0.153205532101907,0.778976214097048
"17",".","3:L - 10:C",0.504999692790824,0.112145060361526,53,0.195959680930855,0.810265979308073
"18",".","4:H - 10:C",0.694258818864189,0.0879392921403702,53,0.377055082287429,0.894945034922115
"19",".","4:L - 10:C",0.736299711710863,0.079756606202092,53,0.42944559325828,0.911956526026284
"20",".","5:H - 10:C",0.554614840117113,0.109963058987174,53,0.231233677850081,0.837538634434469
"21",".","5:L - 10:C",0.655626656936681,0.0947129083188892,53,0.332944467569999,0.878961015208539
