"","contrast","odds.ratio","SE","df","null","t.ratio","p.value"
"1","1:H / 10:C",0.988824979075518,0.467478512828359,53,1,-0.0237708176383564,0.999999932458936
"2","1:L / 10:C",0.493521867139239,0.24874998807976,53,1,-1.40108257963336,0.650636349256416
"3","2:H / 10:C",0.795127959821361,0.381826030398875,53,1,-0.477402892094506,0.990179792792379
"4","2:L / 10:C",0.560235666158321,0.276873529285221,53,1,-1.1723738489468,0.784284292076521
"5","3:H / 10:C",0.379258271929027,0.193648847116594,53,1,-1.89882488290176,0.345395750259885
"6","3:L / 10:C",0.574977236909833,0.283795705916813,53,1,-1.12125261659541,0.810710133569307
"7","4:H / 10:C",0.717347230521653,0.354153484779552,53,1,-0.672870293332341,0.965176839378536
"8","4:L / 10:C",1.34243665412005,0.628971938995644,53,1,0.628532468626163,0.972761486290173
"9","5:H / 10:C",1.50840566196642,0.697312884361491,53,1,0.889177653991083,0.908821546747077
"10","5:L / 10:C",0.957966384750058,0.454400365653662,53,1,-0.0905315254828794,0.999985844401646
