"","contrast","odds.ratio","SE","df","null","t.ratio","p.value"
"1","1:H / 10:C",1.34633833701416,0.704524143809671,53,1,0.568306464442355,0.981161845131414
"2","1:L / 10:C",1.06245032369414,0.559071595572154,53,1,0.115121165943484,0.999963081116133
"3","2:H / 10:C",1.34633833701436,0.704524143809745,53,1,0.568306464442664,0.981161845131376
"4","2:L / 10:C",1.39077146685652,0.720381566916729,53,1,0.636826311814203,0.971436364484708
"5","3:H / 10:C",1.51653834958153,0.793115236467884,53,1,0.796268367447396,0.93714321000318
"6","3:L / 10:C",2.74105189927862,1.34838240145297,53,1,2.04980209641893,0.268609162947226
"7","4:H / 10:C",6.68060282674099,3.01720272514183,53,1,4.20517181167396,0.000932580063293997
"8","4:L / 10:C",5.4659678645367,2.50189698119692,53,1,3.71085289726801,0.00440729652646599
"9","5:H / 10:C",2.36067477721346,1.16921057680741,53,1,1.7342433776396,0.440626111434415
"10","5:L / 10:C",1.50404335894242,0.782887587951251,53,1,0.784130335206514,0.940375839414842
