"","gd","contrast","response","SE","df","lower.CL","upper.CL"
"1","1:H",".",0.011753768879647,0.00920705326443852,53,0.000964896581461453,0.143177088125768
"2","1:L",".",0.0525644233173371,0.0411751711517209,53,0.00431514630623816,0.640307049309053
"3","10:C",".",0.0173570585586299,0.013596265529776,53,0.00142488478707839,0.211432871302832
"4","2:H",".",0.0106569209646452,0.00834786186125517,53,0.000874853565097193,0.129815970326506
"5","2:L",".",0.0146200823094576,0.0114523160980942,53,0.00120019949222466,0.178092732183314
"6","3:H",".",0.0879891120364097,0.0689243126613411,53,0.00722324849833993,1.07182853237503
"7","3:L",".",0.0218029470986965,0.0170788533716235,53,0.00178985900920205,0.265589915040563
"8","4:H",".",0.00938569049693648,0.0073520717663992,53,0.000770495044430352,0.114330632936662
"9","4:L",".",0.028927323330295,0.0226595749352245,53,0.00237471705272015,0.352374626735812
"10","5:H",".",0.00938569049693643,0.00735207176639935,53,0.0007704950444303,0.114330632936669
"11","5:L",".",0.00938569572214536,0.00735207585945031,53,0.000770495473380944,0.114330696586901
"12",".","1:H - 10:C",0.677175158448899,0.45269497110796,53,0.0801954233260603,5.71810929104823
"13",".","1:L - 10:C",3.02841769760592,2.0245123363073,53,0.358644637561566,25.5721480001171
"14",".","2:H - 10:C",0.613981967546375,0.410450007788096,53,0.0727116805564996,5.18450204405873
"15",".","2:L - 10:C",0.842313359724681,0.563090682354422,53,0.0997521477471604,7.11254656660639
"16",".","3:H - 10:C",5.06935617801794,3.38888989046876,53,0.60034565594199,42.8059598753752
"17",".","3:L - 10:C",1.2561429705989,0.839737841366318,53,0.14876050314067,10.6069496221922
"18",".","4:H - 10:C",0.540741996417931,0.361488721774743,53,0.0640381336672697,4.56605915795916
"19",".","4:L - 10:C",1.66660285396758,1.11413232073291,53,0.197369793801165,14.072898488464
"20",".","5:H - 10:C",0.540741996417928,0.361488721774748,53,0.0640381336672668,4.56605915795932
"21",".","5:L - 10:C",0.540742297460234,0.361488923023049,53,0.0640381693186198,4.56606169997981
