"","contrast","ratio","SE","df","null","t.ratio","p.value"
"1","1:H / 10:C",0.677175158448899,0.45269497110796,53,1,-0.583129997814126,0.979287228225257
"2","1:L / 10:C",3.02841769760592,2.0245123363073,53,1,1.65748990831527,0.4880433800129
"3","2:H / 10:C",0.613981967546375,0.410450007788096,53,1,-0.729672521385911,0.953583697403868
"4","2:L / 10:C",0.842313359724681,0.563090682354422,53,1,-0.256696922066878,0.99911103027462
"5","3:H / 10:C",5.06935617801794,3.38888989046876,53,1,2.42812522318474,0.128461289332021
"6","3:L / 10:C",1.2561429705989,0.839737841366318,53,1,0.341128182719201,0.997296075210384
"7","4:H / 10:C",0.540741996417931,0.361488721774743,53,1,-0.919683512126543,0.898129278476439
"8","4:L / 10:C",1.66660285396758,1.11413232073291,53,1,0.764074082700264,0.945484837142118
"9","5:H / 10:C",0.540741996417928,0.361488721774748,53,1,-0.919683512126534,0.898129278476442
"10","5:L / 10:C",0.540742297460234,0.361488923023049,53,1,-0.91968267934194,0.898129579770094
