"","contrast","odds.ratio","SE","df","null","t.ratio","p.value"
"1","Perennial forb:H / Control:C",0.777060646553901,0.267414515921793,53,1,-0.73295704224621,0.952846220969771
"2","Perennial forb:L / Control:C",1.52436521832388,0.468716678884545,53,1,1.37106055838938,0.669257790478877
"3","Rush:H / Control:C",1.22033392250785,0.389941982185034,53,1,0.623165567572514,0.973596568398105
"4","Rush:L / Control:C",1.13098295407869,0.358301276132866,53,1,0.388526220943997,0.995527014004771
"5","Grass:H / Control:C",0.973811709105519,0.321473786910637,53,1,-0.0803870965400179,0.999991192515344
"6","Grass:L / Control:C",1.03075852172872,0.331841468712512,53,1,0.0941015249918867,0.999983481447873
"7","Bulrush:H / Control:C",1.11941613435379,0.36227310605643,53,1,0.348571956554331,0.997059699086582
"8","Bulrush:L / Control:C",2.06412979739685,0.608691812578093,53,1,2.45755381820092,0.120581562505245
"9","Annual forb:H / Control:C",0.63923486979194,0.229825689595035,53,1,-1.24462566001884,0.744468807858785
"10","Annual forb:L / Control:C",0.800448604089878,0.269676055114245,53,1,-0.66066753401872,0.96738859315313
