"","contrast","ratio","SE","df","null","t.ratio","p.value"
"1","1:H / 10:C",1.09108688682996,0.134402399540076,53,1,0.707686642295976,0.958328990291367
"2","1:L / 10:C",0.995459431889672,0.122622806584627,53,1,-0.0369445474267065,0.999999606070499
"3","2:H / 10:C",1.30172293409515,0.160348995108034,53,1,2.14064113863432,0.228076804412366
"4","2:L / 10:C",1.07152418950147,0.131992624943606,53,1,0.56081279596102,0.98206363644691
"5","3:H / 10:C",1.06400843346664,0.131066818156234,53,1,0.503671436755798,0.987984328309627
"6","3:L / 10:C",1.21062374141013,0.149127203112527,53,1,1.55165141072298,0.55513151778665
"7","4:H / 10:C",1.08886688073236,0.134128934475001,53,1,0.691152207883078,0.961681525338137
"8","4:L / 10:C",1.16581042982189,0.143607004234237,53,1,1.24544445931523,0.744002605196029
"9","5:H / 10:C",1.3257041330072,0.163303050111841,53,1,2.28883649368822,0.171412790566494
"10","5:L / 10:C",1.0291105414242,0.126768021712056,53,1,0.232946764976688,0.999393615072074
