"","contrast","estimate","SE","df","t.ratio","p.value"
"1","1:H - 10:C",-0.13292911327651,0.418410721898199,53,-0.317700064361285,0.997950196525714
"2","1:L - 10:C",0.274586732343034,0.396313556623338,53,0.692852232163243,0.961345273606607
"3","2:H - 10:C",-0.179874825823252,0.417322681633575,53,-0.431020967082706,0.993339739671303
"4","2:L - 10:C",-0.22107495471483,0.426898226230944,53,-0.517863371480098,0.986665380502834
"5","3:H - 10:C",-0.178451988437241,0.419995967293683,53,-0.424889766411635,0.993694524784741
"6","3:L - 10:C",0.0500677623740476,0.404848436529185,53,0.123670385893755,0.999950881353743
"7","4:H - 10:C",-0.718194889292345,0.444148541361967,53,-1.61701508033782,0.513541873390618
"8","4:L - 10:C",-0.276640984266589,0.425122760302691,53,-0.650732000492323,0.969118959445433
"9","5:H - 10:C",-0.281123316459888,0.424417775717872,53,-0.662374039316306,0.967085056246871
"10","5:L - 10:C",0.142225489889408,0.40114328149871,53,0.354550347591615,0.996859260965628
