"","contrast","estimate","SE","df","t.ratio","p.value"
"1","1:H - 10:C",-0.0583505900332478,0.0618337608809803,53,-0.943668785496696,0.889239480235459
"2","1:L - 10:C",-0.0750082407659145,0.0618337608190171,53,-1.21306289270449,0.762192997952351
"3","2:H - 10:C",-0.0750127897278199,0.0618337608448034,53,-1.21313645980704,0.762152262543041
"4","2:L - 10:C",-0.0850108607121295,0.0618337608325063,53,-1.37482921251393,0.666932838318032
"5","3:H - 10:C",0.025823285391469,0.0618337608279257,53,0.417624369692334,0.994097200493416
"6","3:L - 10:C",0.0508185758452735,0.0618337608594141,53,0.821858077835749,0.92997696280131
"7","4:H - 10:C",-0.000834322672472534,0.0618337608009763,53,-0.0134929957625893,0.999999992986928
"8","4:L - 10:C",0.0316523133678722,0.0618337608562426,53,0.511893711939351,0.987231889833299
"9","5:H - 10:C",0.0316628409754276,0.0618337608046575,53,0.5120639689935,0.987215970063616
"10","5:L - 10:C",-0.0975092480248507,0.0618337608237653,53,-1.57695806830779,0.538990108730326
