Block,Date,Water Depth (cm),Conductivity,Salinity,Notes
1,6/15/2022,159.7,N/A ,,"depth marked as ""at ground level"" (holding capacity - height)"
2,6/15/2022,165.5,N/A ,,no salinity meter yet
3,6/15/2022,160.5,N/A ,,
4,6/15/2022,161.5,N/A ,,
5,6/15/2022,148.4,N/A ,,
6,6/15/2022,141.4,N/A ,,
1,6/29/2022,154.9,1048,,"Meter temp = 24.3, Kestrel temp = 26.4"
2,6/29/2022,153.5,1505,,
3,6/29/2022,140.3,2601,,
4,6/29/2022,139.3,2816,,
5,6/29/2022,139.1,1723,,
6,6/29/2022,134.4,2281,,
1,7/13/2022,128.8,1010,,"meter temp = 23.9, kestrel was dead"
2,7/13/2022,128.9,1335,,
3,7/13/2022,117.6,2393,,
4,7/13/2022,88,2768,,
5,7/13/2022,117.5,1735,,
6,7/13/2022,112.9,2265,,
1,7/13/2022,128.8,1010,,meter temp: 23.9; kestral = dead
2,7/13/2022,128.9,1335,,
3,7/13/2022,117.6,2393,,
4,7/13/2022,88,2768,,
5,7/13/2022,117.5,1735,,
6,7/13/2022,112.9,2265,,
1,7/27/2022,96.8,1255,,"meter temp: 22.2, kestrel not working agian - may be broken "
2,7/27/2022,95.4,1357,,
3,7/27/2022,86.4,2381,,
4,7/27/2022,86.5,2862,,
5,7/27/2022,88,1722,,
6,7/27/2022,84.4,2251,,
1,8/10/2022,80.7,2595,,meter temp: 21.6; kestrel: 23.8
2,8/10/2022,80.3,1353,,
3,8/10/2022,72.2,2330,,
4,8/10/2022,71.9,2774,,
5,8/10/2022,73.1,1718,,
6,8/10/2022,70.7,2217,,
1,8/24/2022,79.2,1320,1,"meter = 21.2, kestrel = 23.3"
2,8/24/2022,79.1,1432,0.7,
3,8/24/2022,70.5,2375,1.2,
4,8/24/2022,72.5,2788,1.4,
5,8/24/2022,74.9,1881,1,
6,8/24/2022,73,2358,1.2,
1,9/16/2022,76.1,1763,0.9,kestrel = 17.8; meter = 16.7
2,9/16/2022,77.2,1841,0.9,
3,9/16/2022,69.7,2435,1.3,
4,9/16/2022,69.9,2741,1.4,
5,9/16/2022,74.4,1923,1,
6,9/16/2022,74.5,2250,1.2,
